masked_words|abs_decrease_on_replacement
enforce|0.14788617009909272
bloody|0.1465276956344236
ends|0.14634573611620988
eats|0.14633354959441972
increases|0.14632835490395307
russell|0.14613792138165346
harass|0.14536091129309633
decades|0.1448844082932434
married|0.1436966715114361
chicago|0.1435646164213174
ppp|0.1430235619912305
bigot|0.1429973853170658
punishing|0.14277997155088817
forced|0.14253705196222996
slither|0.14215308582850592
stereotype|0.14211102002438933
women-hating|0.1417162400545742
chicks|0.14152703174087944
bwaaaaa|0.14133300566264462
disgraceful|0.1401025416547572
africans|0.13980569095052464
jefferson|0.1395246720360169
draw|0.13913353625363176
knowledge|0.13882990522699995
hmmm|0.13866901449573246
hypocritical|0.13781553551677633
souls|0.13777972689371767
thrower|0.13769661102970765
icon|0.13769148332147405
spade|0.13765575623422743
goverment|0.136992264632543
satisfaction|0.13646601955689797
drinking|0.13601869781721893
settle|0.1358519810147309
animals|0.13485873556306427
boats|0.13383557786932893
holt|0.13363766954841472
brain|0.1336308813687852
raped|0.13317410296546167
condemned/boycotted|0.1323375341323828
leaches|0.13230961220839377
able-bodies|0.13203554239916812
lies|0.1314503409617399
secure|0.13131933249240618
stinking|0.13115616204887706
21:20|0.13108663674345475
creates|0.1309729760135612
commoners|0.13097096532863278
penny|0.13013108256667136
blew|0.1289079556030887
managaes|0.1287773556001403
transformation|0.12874698044131927
decay|0.12869020598464753
mother|0.12867182091400392
priven|0.12841467814473623
rapidly|0.12820241783540004
bernie|0.12818529874649098
breeding|0.12802043211048741
nebuchadnezzar|0.1276980227050777
hood|0.1276268496931939
hole|0.12703365540191716
incapable|0.12673990737412913
anonymity|0.12637483154310084
ancient|0.12570590943283008
treason|0.12551613999263989
panthers|0.12546584873036637
sadam|0.12497599231979446
hmmmm|0.12442060046354886
2/3|0.1244118864081147
monkey|0.12399365008173466
silver|0.12372336530907253
prison|0.12341530272262609
accountable|0.12339813070647505
cleaning|0.12328626068847512
unfortunate|0.12305119716432665
tg/gays|0.12269050487692282
beast|0.12255422626578474
spoken|0.12177818443853017
pathetic|0.12130905275494745
goofball|0.12115839550676806
gop/fox|0.12026104356323106
guidance|0.11985924688397107
embarrassment|0.11941838537703744
station|0.1191814509104054
slave|0.11904692139031421
ray|0.11856892515763943
mabus|0.11856892515763943
trash|0.1182759046716619
poverty|0.11817323755658468
christ-like|0.11764431892449348
spouting|0.11729568819336729
stupid|0.11716053021013619
hatred|0.11687960872250916
custody|0.11686049400701906
unfair|0.11595473661688752
sheriff|0.11593322918133504
lmao|0.11572287791328342
hawaii|0.11512969492023135
originally|0.11501990705259431
headed|0.11435592408973753
heads|0.11415856384097163
thinking/acting|0.11389855303273347
condolences|0.11360418185534635
heartbeats|0.11346974890075771
bit|0.1133904103854073
immature|0.11312076924834999
1/3|0.11293285176422212
rainbow|0.11281743190544172
steal|0.11270555444557474
losing|0.11251128189114959
mess|0.11239571054390815
communist|0.1120806533304995
racist|0.11188553841723366
globalization|0.11165153111686477
harms|0.11153390040523892
1912|0.11095356687065334
trillion|0.11080377154111307
isis|0.11039594010763153
margin|0.11033775023491624
'em|0.11002892258608779
relative|0.10990315890795599
realize|0.10978860989532825
punished|0.1095670441459052
single|0.10953333944441009
non-citizens|0.1093765482957418
tells|0.10829274256491785
stone|0.1082891123587831
louder|0.10818106095383499
thief|0.10814602596171641
monica|0.10771808936055427
smoking|0.10770731798786226
tgs/gays|0.10768844827561541
myths|0.10757763857035418
freaked|0.1074465692233123
olives|0.10648841300865222
improve|0.10641713715440661
garbage|0.10625064367584021
medicare|0.10586538163405743
200|0.10576582023262796
a-hole|0.10562312158662064
blowing|0.10513828648985091
contributed|0.10484593079875423
babylonians|0.10460416412412143
controls|0.10416564040621043
sector|0.10399656467058842
pants|0.10396088320607948
intellectuals|0.1037761763949558
shocking|0.10365047856982079
whoever|0.10356452410820309
ovens|0.10345712389839942
gon|0.10334563898204005
deported|0.10300765640767821
scheme|0.102752374161037
compete|0.10274043136488134
zero|0.10265230210608482
bathrooms|0.10192303771285678
evinrude|0.10182651733058226
exempt|0.10165438382076881
department|0.1015561787358061
insurgents|0.10134266490563629
begins|0.10106254867611202
ineffective|0.10081426956308266
cold|0.10064041485679098
congo|0.10048794586014781
comunities|0.10007220443215643
refugee|0.09996777321787981
rarely|0.09968441160845158
eat|0.09958627655193206
organization|0.0987753023895551
personnel|0.09857932575180829
killer|0.0984533714948111
parent|0.09838290716035979
maniacs|0.0983652868568263
alter|0.09820029003219306
criminal|0.09809327597111112
kicks|0.09793233175669051
afro-americans|0.09779714974321888
french|0.09776132490676245
file|0.09753129730190138
lie|0.09711810514840861
na|0.09671576961453437
anti-semitism|0.09660900704719308
white|0.09660273238515533
removing|0.09655191170000753
descent|0.09644971966440159
larry|0.0964087280779147
screwed|0.09583482122965517
continually|0.09567187314567324
men|0.0954735194669651
held|0.09520210853327532
ur|0.09504797874290404
aclu|0.09497213404749423
o'reilly|0.09496783196253387
roads|0.09478753411247946
spamming|0.09418168135555342
religious|0.09413500136698821
bars|0.09409421363827836
displaying|0.09400457789464925
reelected|0.09390147295002357
chop|0.0937973416418613
egypt|0.09334399059468708
considering|0.09331545297479951
45.2|0.09328109795839461
uses|0.093210369854786
officer|0.09309436860543607
bury|0.09303214233615689
kansas|0.09283433564369173
honestly|0.09270102863035923
invaders|0.0924001447996667
toy|0.0923699069777995
mekong.honorable|0.09207469137738025
loon|0.09192535024500716
canopy|0.09185187013670294
restaurants|0.09157427462165847
desperately|0.09157186889336595
died|0.09128487944316253
drug|0.09091871541189592
billions|0.09082495308515488
elated|0.09054118930642771
duck|0.09044366365952448
drop|0.09040491029455724
civilized|0.09025587152793271
anti-white|0.08990534237916144
bolt|0.08946687172334788
nut|0.08903293835173039
2012|0.08879688947578454
immoral|0.08855849457096283
crawl|0.08839417306156873
eye|0.08817982080431794
rationale|0.0876706905880748
alligators|0.08762353848559301
weapon|0.08749313459893693
israelis|0.08744705631142394
dangerous|0.08733072924381562
carnage|0.08731540335232954
woke|0.08718051452568601
arrest|0.08710582080803174
mouth|0.08691189104334478
ended|0.08685952321880656
predominantly|0.08665893545826168
felons|0.08663518368417523
anti-semitic|0.08642263404066775
issue|0.08615888521207164
surgeon|0.08604160051495796
shame|0.08590829947611206
enjoyed|0.08587877817252666
expressing|0.08561002013858109
discriminated|0.0855801043447271
shots|0.08546709881870451
die|0.08540005289325368
terrorist|0.08513839363973338
patient|0.08509869404875181
supportive|0.0850826179228816
nobody|0.08504367251586768
guarded|0.08461068118953904
guide|0.08444044927576191
hostage|0.08430360120476793
acting|0.0841891686587969
sexually|0.08413272441383508
required|0.08408962745924403
death|0.08385417694400944
planning|0.08382589112958921
zip|0.08348800417886268
discriminating|0.08344809762668606
venezuela|0.0832120588158776
syria|0.0826607023975136
da|0.08265993540824262
dead|0.08264676053142422
non-whites|0.08258785892333112
pool|0.08231203730290895
efen|0.08204404453482791
destroying|0.08178317732476009
caveat|0.08167158104367016
proclivity|0.08165986360078918
multiculturalism|0.08163312362241922
afraid|0.08153039489481018
fence-climbing|0.0814084276580302
perpetuating|0.08134591323801851
liability|0.08126283423489508
vetting|0.08125778999410979
racists|0.08119392963273223
accurate|0.08076489841749705
venomous|0.08069935957506583
ms.|0.08021663584549762
feminist|0.08020683334825471
thru|0.07966672027441853
possessed|0.07966050575425482
cheating|0.07940685140418352
immigrants|0.07895212080481234
identify|0.07881335268688151
prosecute|0.0784662589452946
sheep|0.07846214233877288
cellmate|0.07817324608618174
threatening|0.07787963127256317
celebrities|0.07786262440493605
bible|0.07785341262599513
proven|0.07755738256098686
pence|0.07730903493943792
forgot|0.07721651682371308
whites|0.07715796462449806
spoiled|0.07715304916245691
ss|0.07693592628262105
rob|0.07689299186920355
crimes|0.07646888010756492
threat|0.07621708436343033
commenting|0.07618296894934137
lost|0.0761487555869464
superior|0.07609449725201026
mexican|0.07590771736461994
movements|0.075879542477361
applauds|0.07583265965445127
lynched|0.07562018848077015
christ|0.07553746964033431
rewards|0.07545920947850551
sancuary|0.07529750615895366
ai|0.07526898773592192
gated|0.07521455478512178
loyal|0.07519265826429762
nonsense|0.07513755024425016
rapists|0.07507076499238514
reverse|0.07492211088381705
victims|0.07482386339941294
absence|0.07480171911819435
ar-15|0.07446848013375501
members|0.074417907004489
vigorous|0.07432884809957559
fashion|0.07420559000457685
advantage|0.07414183032397316
teach|0.07409088733899029
unfairly|0.07368783740865077
fire|0.07363487057134478
shut|0.07362039018421843
talking|0.07346847451709276
providing|0.07345760210301704
attendees|0.07328633492619625
lawyer|0.07322186679251182
wookie|0.0731935952203309
sue|0.0727623609065644
pays|0.0727478775402143
attitude|0.07267761187690151
innocent|0.07265587385610559
programs|0.07231491714830425
obedient|0.0722913948359203
accident|0.0721759073410582
johnson|0.0720152184950481
capitol|0.07190709860318048
shores|0.07184051969747224
thats|0.0716967628254866
m4|0.07161855710299984
graffiti|0.07161409389464146
funded|0.07159406622599138
enemies|0.07145014677400265
agricultural|0.07141630116097242
surplus|0.07139087276557005
knows|0.07132640620240795
surely|0.07130896642005743
blacks|0.07116160946364766
fight|0.07108414447223424
